Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,93.59114074707031,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,89.93115997314453,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,90.09204864501953,12177900
2000-01-06,139.625,141.5,137.75,137.75,88.64412689208984,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,93.79224395751953,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,94.11396026611328,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,92.98786926269531,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,92.06281280517578,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,93.30962371826172,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,94.5765380859375,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,93.83242797851562,6488500
2000-01-19,145.3125,147.0,145.0,147.0,94.59662628173828,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,93.14872741699219,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,92.9476547241211,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,90.31324005126953,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,91.33882141113281,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,90.61492156982422,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,90.25287628173828,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,87.43750762939453,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,89.81048583984375,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,90.69532012939453,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,90.77581024169922,6205900
2000-02-03,140.875,143.25,140.0,143.1875,92.14321899414062,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,91.76114654541016,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,91.62039184570312,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,92.86717224121094,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,90.91654968261719,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,91.0975341796875,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,89.24739074707031,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,89.77027893066406,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,90.78582763671875,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,89.44857025146484,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,88.98599243164062,7584200
2000-02-18,138.875,138.875,134.625,135.3125,87.07555389404297,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,86.8543472290039,16415400
2000-02-23,135.625,137.46875,134.5,136.5625,87.87995910644531,12119000
2000-02-24,136.6875,137.03125,133.09375,133.8125,86.11029815673828,17375000
2000-02-25,135.1875,136.71875,133.125,133.328125,85.79859161376953,10559900
2000-02-28,133.375,136.6875,132.71875,136.125,87.5984115600586,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,88.4430160522461,8242500
2000-03-01,137.625,139.0,137.21875,138.4375,89.08649444580078,6868000
2000-03-02,138.6875,139.125,137.34375,138.53125,89.1468505859375,7600200
2000-03-03,140.4375,141.71875,139.71875,141.125,90.8160171508789,12770300
2000-03-06,140.8125,141.34375,138.75,139.75,89.93115997314453,11967100
2000-03-07,140.0,140.15625,135.21875,137.046875,88.19163513183594,20062000
2000-03-08,136.46875,137.84375,135.03125,136.875,88.08103942871094,11808500
2000-03-09,137.25,140.875,136.125,140.875,90.65514373779297,5500900
2000-03-10,140.1875,142.0,139.53125,140.125,90.1724624633789,7924600
2000-03-13,136.6875,140.46875,135.6875,138.59375,89.18708038330078,10540500
2000-03-14,139.28125,140.09375,136.15625,136.625,87.9201431274414,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,89.97136688232422,10300800
2000-03-16,141.625,146.84375,140.875,146.34375,94.17432403564453,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,94.79669189453125,10272900
2000-03-20,146.875,147.34375,144.78125,146.1875,94.3128662109375,12502300
2000-03-21,145.53125,149.75,144.5,149.1875,96.24825286865234,13612600
2000-03-22,149.5625,150.84375,148.6875,150.09375,96.83299255371094,8260000
2000-03-23,149.15625,153.46875,149.15625,152.65625,98.4862060546875,11654500
2000-03-24,152.875,155.75,151.71875,153.5625,99.07083892822266,11462900
2000-03-27,153.375,153.78125,151.8125,151.9375,98.0224609375,8798600
2000-03-28,151.25,152.984375,150.59375,151.0625,97.45801544189453,6334400
2000-03-29,151.5625,152.484375,149.65625,151.21875,97.55879974365234,6747500
2000-03-30,150.15625,151.921875,147.125,148.6875,95.9257583618164,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,97.01445770263672,9249100
2000-04-03,150.125,151.25,148.6875,151.25,97.57891845703125,8508200
2000-04-04,151.75,153.0,141.390625,150.125,96.85311889648438,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,96.24825286865234,8387200
2000-04-06,150.25,151.6875,149.0,150.484375,97.08499908447266,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,97.69991302490234,6023600
2000-04-10,151.75,153.109375,150.3125,150.84375,97.31682586669922,9624200
2000-04-11,150.0,151.625,148.375,150.40625,97.03461456298828,9006400
2000-04-12,150.375,151.15625,146.15625,146.28125,94.37336730957031,10779200
2000-04-13,147.46875,148.15625,143.78125,144.25,93.06290435791016,12225800
2000-04-14,142.625,142.8125,133.5,136.0,87.74042510986328,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,90.80485534667969,23918200
2000-04-18,140.5625,144.46875,139.78125,144.46875,93.20405578613281,11069200
2000-04-19,144.5,145.125,142.53125,143.125,92.33711242675781,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,92.7806625366211,8537600
2000-04-24,141.5,143.3125,140.5,142.25,91.77262115478516,12893100
2000-04-25,144.625,148.15625,144.4375,148.15625,95.58299255371094,14102000
2000-04-26,147.96875,148.75,146.0,146.484375,94.50443267822266,7711100
2000-04-27,143.0,147.34375,143.0,146.0,94.19189453125,15595300
2000-04-28,147.0,147.859375,145.0625,145.09375,93.60723114013672,8743400
2000-05-01,146.5625,148.484375,145.84375,147.0625,94.87743377685547,7328300
2000-05-02,145.5,147.125,144.125,144.125,92.98223114013672,9411900
2000-05-03,144.0,144.0,139.78125,140.75,90.80485534667969,12630700
2000-05-04,142.0,142.359375,140.75,141.8125,91.49031829833984,5963600
2000-05-05,141.0625,144.0,140.9375,143.53125,92.59919738769531,7862400
2000-05-08,142.75,143.375,141.84375,142.453125,91.90367889404297,5064100
