date,open,high,low,close,volume,average,barCount,symbol
2024-05-26 17:15:00-04:00,1.274,1.274,1.2739,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 17:20:00-04:00,1.2739,1.2739,1.2739,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 17:25:00-04:00,1.2739,1.2739,1.27385,1.27385,-1.0,-1.0,-1,GBP
2024-05-26 17:30:00-04:00,1.27385,1.2739,1.2738,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 17:35:00-04:00,1.2738,1.27385,1.2738,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 17:40:00-04:00,1.2738,1.27385,1.2738,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 17:45:00-04:00,1.2738,1.2739,1.2738,1.27385,-1.0,-1.0,-1,GBP
2024-05-26 17:50:00-04:00,1.27385,1.27385,1.2738,1.27385,-1.0,-1.0,-1,GBP
2024-05-26 17:55:00-04:00,1.27385,1.2739,1.2738,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 18:00:00-04:00,1.2739,1.2742,1.2739,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 18:05:00-04:00,1.2741,1.27415,1.274,1.274,-1.0,-1.0,-1,GBP
2024-05-26 18:10:00-04:00,1.274,1.27415,1.274,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 18:15:00-04:00,1.2741,1.27425,1.2741,1.27415,-1.0,-1.0,-1,GBP
2024-05-26 18:20:00-04:00,1.27415,1.2742,1.27415,1.2742,-1.0,-1.0,-1,GBP
2024-05-26 18:25:00-04:00,1.2742,1.2743,1.27415,1.2743,-1.0,-1.0,-1,GBP
2024-05-26 18:30:00-04:00,1.2743,1.2743,1.27405,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 18:35:00-04:00,1.2741,1.2742,1.27405,1.27415,-1.0,-1.0,-1,GBP
2024-05-26 18:40:00-04:00,1.27415,1.2742,1.27415,1.2742,-1.0,-1.0,-1,GBP
2024-05-26 18:45:00-04:00,1.2742,1.27425,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 18:50:00-04:00,1.2741,1.27415,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 18:55:00-04:00,1.2741,1.27415,1.2741,1.27415,-1.0,-1.0,-1,GBP
2024-05-26 19:00:00-04:00,1.27415,1.27415,1.27385,1.27395,-1.0,-1.0,-1,GBP
2024-05-26 19:05:00-04:00,1.27395,1.27405,1.2739,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 19:10:00-04:00,1.27405,1.27405,1.2739,1.27395,-1.0,-1.0,-1,GBP
2024-05-26 19:15:00-04:00,1.27395,1.27395,1.2739,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 19:20:00-04:00,1.2739,1.2739,1.2738,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 19:25:00-04:00,1.2738,1.2738,1.27375,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 19:30:00-04:00,1.2738,1.2738,1.2736,1.2736,-1.0,-1.0,-1,GBP
2024-05-26 19:35:00-04:00,1.2736,1.2736,1.2735,1.27355,-1.0,-1.0,-1,GBP
2024-05-26 19:40:00-04:00,1.27355,1.2736,1.27345,1.2735,-1.0,-1.0,-1,GBP
2024-05-26 19:45:00-04:00,1.2735,1.2736,1.2735,1.27355,-1.0,-1.0,-1,GBP
2024-05-26 19:50:00-04:00,1.27355,1.2737,1.27355,1.27365,-1.0,-1.0,-1,GBP
2024-05-26 19:55:00-04:00,1.27365,1.27365,1.2734,1.2734,-1.0,-1.0,-1,GBP
2024-05-26 20:00:00-04:00,1.2734,1.27375,1.2734,1.27375,-1.0,-1.0,-1,GBP
2024-05-26 20:05:00-04:00,1.27375,1.27385,1.27365,1.27375,-1.0,-1.0,-1,GBP
2024-05-26 20:10:00-04:00,1.27375,1.2739,1.2737,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 20:15:00-04:00,1.2738,1.2738,1.2737,1.27375,-1.0,-1.0,-1,GBP
2024-05-26 20:20:00-04:00,1.27375,1.2738,1.2737,1.2738,-1.0,-1.0,-1,GBP
2024-05-26 20:25:00-04:00,1.2738,1.2738,1.2736,1.2736,-1.0,-1.0,-1,GBP
2024-05-26 20:30:00-04:00,1.2736,1.27385,1.2736,1.2737,-1.0,-1.0,-1,GBP
2024-05-26 20:35:00-04:00,1.2737,1.2737,1.27365,1.2737,-1.0,-1.0,-1,GBP
2024-05-26 20:40:00-04:00,1.2737,1.2737,1.2736,1.2736,-1.0,-1.0,-1,GBP
2024-05-26 20:45:00-04:00,1.2736,1.27365,1.27355,1.27365,-1.0,-1.0,-1,GBP
2024-05-26 20:50:00-04:00,1.27365,1.27385,1.2736,1.27375,-1.0,-1.0,-1,GBP
2024-05-26 20:55:00-04:00,1.27375,1.27395,1.2737,1.27385,-1.0,-1.0,-1,GBP
2024-05-26 21:00:00-04:00,1.27385,1.274,1.2738,1.27395,-1.0,-1.0,-1,GBP
2024-05-26 21:05:00-04:00,1.27395,1.27405,1.2739,1.274,-1.0,-1.0,-1,GBP
2024-05-26 21:10:00-04:00,1.274,1.2741,1.27395,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 21:15:00-04:00,1.2741,1.2741,1.2739,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 21:20:00-04:00,1.2739,1.274,1.2738,1.274,-1.0,-1.0,-1,GBP
2024-05-26 21:25:00-04:00,1.274,1.2741,1.27395,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 21:30:00-04:00,1.27405,1.2742,1.274,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 21:35:00-04:00,1.2741,1.2741,1.27395,1.274,-1.0,-1.0,-1,GBP
2024-05-26 21:40:00-04:00,1.274,1.2741,1.27395,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 21:45:00-04:00,1.27405,1.2742,1.274,1.274,-1.0,-1.0,-1,GBP
2024-05-26 21:50:00-04:00,1.274,1.2741,1.274,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 21:55:00-04:00,1.2741,1.2742,1.2741,1.27415,-1.0,-1.0,-1,GBP
2024-05-26 22:00:00-04:00,1.27415,1.2742,1.2741,1.2742,-1.0,-1.0,-1,GBP
2024-05-26 22:05:00-04:00,1.2742,1.27435,1.2742,1.27425,-1.0,-1.0,-1,GBP
2024-05-26 22:10:00-04:00,1.27425,1.27425,1.27415,1.2742,-1.0,-1.0,-1,GBP
2024-05-26 22:15:00-04:00,1.2742,1.27425,1.2742,1.27425,-1.0,-1.0,-1,GBP
2024-05-26 22:20:00-04:00,1.27425,1.27425,1.2742,1.2742,-1.0,-1.0,-1,GBP
2024-05-26 22:25:00-04:00,1.2742,1.27425,1.274,1.274,-1.0,-1.0,-1,GBP
2024-05-26 22:30:00-04:00,1.274,1.27405,1.2739,1.27395,-1.0,-1.0,-1,GBP
2024-05-26 22:35:00-04:00,1.27395,1.27405,1.27395,1.274,-1.0,-1.0,-1,GBP
2024-05-26 22:40:00-04:00,1.274,1.27415,1.274,1.274,-1.0,-1.0,-1,GBP
2024-05-26 22:45:00-04:00,1.274,1.2741,1.274,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 22:50:00-04:00,1.27405,1.2741,1.27405,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 22:55:00-04:00,1.2741,1.27415,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 23:00:00-04:00,1.2741,1.2742,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 23:05:00-04:00,1.2741,1.27425,1.2741,1.27415,-1.0,-1.0,-1,GBP
2024-05-26 23:10:00-04:00,1.27415,1.2742,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 23:15:00-04:00,1.2741,1.27415,1.274,1.2741,-1.0,-1.0,-1,GBP
2024-05-26 23:20:00-04:00,1.2741,1.27415,1.274,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 23:25:00-04:00,1.27405,1.27415,1.274,1.27415,-1.0,-1.0,-1,GBP
2024-05-26 23:30:00-04:00,1.27415,1.27415,1.2739,1.27395,-1.0,-1.0,-1,GBP
2024-05-26 23:35:00-04:00,1.27395,1.27395,1.2739,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 23:40:00-04:00,1.2739,1.27395,1.2739,1.2739,-1.0,-1.0,-1,GBP
2024-05-26 23:45:00-04:00,1.2739,1.2741,1.2739,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 23:50:00-04:00,1.27405,1.2741,1.274,1.27405,-1.0,-1.0,-1,GBP
2024-05-26 23:55:00-04:00,1.27405,1.27425,1.27405,1.2742,-1.0,-1.0,-1,GBP
2024-05-27 00:00:00-04:00,1.2742,1.27425,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-27 00:05:00-04:00,1.2741,1.2741,1.274,1.274,-1.0,-1.0,-1,GBP
2024-05-27 00:10:00-04:00,1.274,1.27415,1.274,1.2741,-1.0,-1.0,-1,GBP
2024-05-27 00:15:00-04:00,1.2741,1.27415,1.27405,1.2741,-1.0,-1.0,-1,GBP
2024-05-27 00:20:00-04:00,1.2741,1.27415,1.2741,1.2741,-1.0,-1.0,-1,GBP
2024-05-27 00:25:00-04:00,1.2741,1.27415,1.2741,1.27415,-1.0,-1.0,-1,GBP
2024-05-27 00:30:00-04:00,1.27415,1.2742,1.2741,1.27415,-1.0,-1.0,-1,GBP
