date,open,high,low,close,volume,average,barCount,symbol
2024-05-26 17:15:00-04:00,157.003,157.013,156.9895,156.99,-1.0,-1.0,-1,USD
2024-05-26 17:20:00-04:00,156.99,156.99,156.99,156.99,-1.0,-1.0,-1,USD
2024-05-26 17:25:00-04:00,156.99,156.99,156.952,156.973,-1.0,-1.0,-1,USD
2024-05-26 17:30:00-04:00,156.973,156.9895,156.907,156.94,-1.0,-1.0,-1,USD
2024-05-26 17:35:00-04:00,156.94,156.962,156.8765,156.9145,-1.0,-1.0,-1,USD
2024-05-26 17:40:00-04:00,156.9145,156.9235,156.9025,156.9215,-1.0,-1.0,-1,USD
2024-05-26 17:45:00-04:00,156.9215,156.922,156.92,156.92,-1.0,-1.0,-1,USD
2024-05-26 17:50:00-04:00,156.92,156.9225,156.919,156.922,-1.0,-1.0,-1,USD
2024-05-26 17:55:00-04:00,156.922,156.9275,156.922,156.9255,-1.0,-1.0,-1,USD
2024-05-26 18:00:00-04:00,156.9255,156.972,156.792,156.8925,-1.0,-1.0,-1,USD
2024-05-26 18:05:00-04:00,156.8925,156.925,156.8795,156.9245,-1.0,-1.0,-1,USD
2024-05-26 18:10:00-04:00,156.9245,156.946,156.911,156.943,-1.0,-1.0,-1,USD
2024-05-26 18:15:00-04:00,156.943,156.943,156.9195,156.936,-1.0,-1.0,-1,USD
2024-05-26 18:20:00-04:00,156.936,156.94,156.926,156.934,-1.0,-1.0,-1,USD
2024-05-26 18:25:00-04:00,156.934,156.934,156.9085,156.9135,-1.0,-1.0,-1,USD
2024-05-26 18:30:00-04:00,156.9135,156.946,156.883,156.935,-1.0,-1.0,-1,USD
2024-05-26 18:35:00-04:00,156.935,156.946,156.8965,156.914,-1.0,-1.0,-1,USD
2024-05-26 18:40:00-04:00,156.914,156.915,156.8945,156.9055,-1.0,-1.0,-1,USD
2024-05-26 18:45:00-04:00,156.9055,156.9135,156.8645,156.875,-1.0,-1.0,-1,USD
2024-05-26 18:50:00-04:00,156.875,156.8875,156.8685,156.875,-1.0,-1.0,-1,USD
2024-05-26 18:55:00-04:00,156.875,156.8865,156.8605,156.861,-1.0,-1.0,-1,USD
2024-05-26 19:00:00-04:00,156.861,156.878,156.826,156.8575,-1.0,-1.0,-1,USD
2024-05-26 19:05:00-04:00,156.8575,156.875,156.8505,156.852,-1.0,-1.0,-1,USD
2024-05-26 19:10:00-04:00,156.852,156.8655,156.8385,156.8535,-1.0,-1.0,-1,USD
2024-05-26 19:15:00-04:00,156.8535,156.864,156.847,156.8525,-1.0,-1.0,-1,USD
2024-05-26 19:20:00-04:00,156.8525,156.899,156.835,156.8985,-1.0,-1.0,-1,USD
2024-05-26 19:25:00-04:00,156.8985,156.901,156.8695,156.872,-1.0,-1.0,-1,USD
