Date,Entry Price,Stop Loss,Direction,Quantity,Balance,Max Balance,Drawdown
2024-06-10 19:15:00-04:00,-0.004644897579997309,-0.006967346369995964,SELL,20000.0,120000.0,120000.0,0.0
2024-06-04 10:45:00-04:00,0.0032255983484885675,0.004838397522732851,SELL,24000.0,120000.0,120000.0,0.0
2024-06-21 08:35:00-04:00,-0.04208163837845502,-0.06312245756768253,SELL,24000.0,144000.0,144000.0,0.0
2024-06-21 04:00:00-04:00,0.0,0.0,SELL,28800.0,168000.0,168000.0,0.0
2024-06-21 03:50:00-04:00,-0.03558296761950741,-0.017791483809753705,BUY,33600.0,168000.0,168000.0,0.0
2024-06-17 01:40:00-04:00,-0.009342301943193743,-0.014013452914790614,SELL,33600.0,230400.0,230400.0,0.0
2024-06-13 15:45:00-04:00,-0.0046546266989522245,-0.006981940048428337,SELL,46080.0,276480.0,276480.0,0.0
2024-06-06 00:50:00-04:00,-0.007814636814751363,-0.011721955222127045,SELL,55296.0,331776.0,331776.0,0.0
2024-06-19 19:45:00-04:00,0.004652028284346521,0.006978042426519782,SELL,66355.2,331776.0,331776.0,0.0
2024-06-18 04:50:00-04:00,-0.008218537226811762,-0.012327805840217643,SELL,66355.2,398131.2,398131.2,0.0
2024-06-14 16:20:00-04:00,0.0,0.0,SELL,79626.24,398131.2,398131.2,0.0
2024-06-23 18:10:00-04:00,0.0009392964043897223,0.0014089446065845834,SELL,79626.24,477757.44,477757.44,0.0
2024-06-04 05:05:00-04:00,-0.039134348217428894,-0.05870152232614334,SELL,95551.48800000001,539708.9280000001,539708.9280000001,0.0
2024-06-24 04:35:00-04:00,-0.02799944001119492,-0.04199916001679238,SELL,107941.78560000002,714005.9136000001,714005.9136000001,0.0
2024-06-17 04:00:00-04:00,-0.007892971309053642,-0.003946485654526821,SELL,142801.18272,793632.1536000001,793632.1536000001,0.0
2024-06-20 11:15:00-04:00,0.0015750710357087527,0.002362606553563129,BUY,158726.43072000003,650830.97088,793632.1536000001,142801.18272000004
2024-06-23 23:20:00-04:00,0.0012521834949819066,0.00187827524247286,SELL,130166.19417600002,650830.97088,793632.1536000001,142801.18272000004
2024-06-04 11:25:00-04:00,0.019561050037175676,0.029341575055763514,SELL,130166.19417600002,809557.4016000001,809557.4016000001,0.0
2024-06-16 23:10:00-04:00,-0.004671587405413735,-0.007007381108120603,SELL,161911.48032000003,1101635.0760960001,1101635.0760960001,0.0
2024-06-18 14:05:00-04:00,0.009315323707514978,0.013972985561272466,SELL,220327.01521920005,1101635.0760960001,1101635.0760960001,0.0
2024-06-19 18:35:00-04:00,0.004653543673516225,0.0069803155102743375,SELL,220327.01521920005,1101635.0760960001,1101635.0760960001,0.0
2024-06-12 15:10:00-04:00,0.06769637537000772,0.10154456305501158,SELL,220327.01521920005,1101635.0760960001,1101635.0760960001,0.0
2024-06-11 04:00:00-04:00,-0.018577001671926663,-0.009288500835963331,BUY,220327.01521920005,1101635.0760960001,1101635.0760960001,0.0
2024-06-12 18:00:00-04:00,-0.007662394881524648,-0.003831197440762324,BUY,220327.01521920005,1321962.0913152,1321962.0913152,0.0
2024-06-09 18:10:00-04:00,0.0006379463231898086,0.0009569194847847129,SELL,264392.41826304,1716520.7037542402,1716520.7037542402,0.0
2024-05-30 15:10:00-04:00,0.004614674665437413,0.006922011998156119,SELL,343304.14075084805,1716520.7037542402,1716520.7037542402,0.0
2024-06-12 07:25:00-04:00,-0.0025421682152693137,-0.0038132523229039705,SELL,343304.14075084805,1496193.6885350402,1716520.7037542402,220327.01521919994
2024-05-26 22:15:00-04:00,0.006698329564169825,0.010047494346254737,SELL,299238.7377070081,1275866.6733158403,1716520.7037542402,440654.0304383999
2024-06-14 03:25:00-04:00,-0.009335324869308437,-0.004667662434654218,SELL,255173.33466316806,2138736.566992896,2138736.566992896,0.0
2024-06-11 14:45:00-04:00,0.0,0.0,SELL,427747.31339857925,2909788.0211423235,2909788.0211423235,0.0
2024-06-23 22:45:00-04:00,-0.003956009177952247,-0.00593401376692837,SELL,581957.6042284648,3491745.6253707884,3491745.6253707884,0.0
2024-06-07 16:30:00-04:00,0.009257116408245558,0.013885674612368337,BUY,698349.1250741577,3236572.2907076203,3491745.6253707884,255173.33466316806
2024-06-19 08:10:00-04:00,-0.03255056963497038,-0.01627528481748519,BUY,647314.4581415241,3236572.2907076203,3491745.6253707884,255173.33466316806
2024-06-21 07:55:00-04:00,-0.026418168151642885,-0.03962725222746433,BUY,647314.4581415241,2589257.8325660964,3491745.6253707884,902487.7928046919
2024-06-03 19:50:00-04:00,-0.0045842119739680776,-0.006876317960952116,SELL,517851.5665132193,3236572.290707621,3491745.6253707884,255173.3346631676
2024-06-12 23:45:00-04:00,0.0,0.0,SELL,647314.4581415242,3236572.290707621,3491745.6253707884,255173.3346631676
2024-05-27 00:45:00-04:00,0.0,0.0,SELL,647314.4581415242,3754423.85722084,3754423.85722084,0.0
2024-06-06 21:50:00-04:00,0.00459031443653668,0.00688547165480502,SELL,750884.7714441681,5100087.4404365225,5100087.4404365225,0.0
2024-06-10 08:40:00-04:00,-0.031424306701233196,-0.04713646005184979,SELL,1020017.4880873045,6767419.386665352,6767419.386665352,0.0
2024-06-17 06:50:00-04:00,0.023350301218871827,0.03502545182830774,SELL,1353483.8773330704,7518304.15810952,7518304.15810952,0.0
2024-06-12 00:10:00-04:00,-0.004655276756193594,-0.006982915134290391,SELL,1503660.831621904,9021964.989731424,9021964.989731424,0.0
